rank,name,name_ascii,institution,country,arxiv_rank,openalex_rank,zbmath_rank,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
1,J. P. Keating,J. P. Keating,University of Oxford,GB,4,,1,32,1,31,,40,openalex,2004,2004,,,,
2,Steven J. Miller,Steven J. Miller,Williams College,US,6,,3,34,1,1,,,,2021,2021,,,,
3,H. M. Bui,H. M. Bui,University of Manchester,GB,3,,12,36,,,,11,openalex,2006,2024,,,,
4,Tim Trudgian,Tim Trudgian,Australian National University,AU,10,,4,33,1,1,,13,openalex,2019,2019,,,,
5,Alexandru Zaharescu,Alexandru Zaharescu,University of Illinois Urbana-Champaign,US,11,,5,25,1,1,,24,openalex,2012,2012,,,,
6,Kannan Soundararajan,Kannan Soundararajan,Stanford University,US,5,,28,31,,,,,,2006,2026,,,,
7,J. Brian Conrey,J. Brian Conrey,California Institute of Technology,US,8,184,2,30,2,242,,28,openalex,1989,2025,,,,
8,Ade Irma Suriajaya,Ade Irma Suriajaya,Kyushu University,JP,9,,29,27,,,,4,openalex,2021,2025,,,,
9,Nina C. Snaith,Nina C. Snaith,University of Bristol,GB,27,,8,20,2,1,,6,openalex,2025,2025,,,,
10,M. B. Milinovich,M. B. Milinovich,University of Mississippi,US,12,,15,25,,,,11,openalex,2019,2024,,,,
11,Liangyi Zhao,Liangyi Zhao,UNSW Sydney,AU,2,,60,44,2,0,,14,openalex,2022,2024,,,,
12,Steven M. Gonek,Steven M. Gonek,University of Rochester,US,26,,9,17,,,,18,openalex,1998,2013,,,,
13,Jörn Steuding,Jorn Steuding,University of Würzburg,DE,37,,6,16,2,0,,11,openalex,2024,2025,,,,
14,David W. Farmer,David W. Farmer,California Institute of Technology,US,14,,17,22,,,,18,openalex,1994,2025,,,,
15,Peng Gao,Peng Gao,Xihua University,CN,1,,73,55,2,0,,10,openalex,2022,2024,,,,
16,D. A. Goldston,D. A. Goldston,San Jose State University,US,18,,14,20,,,,21,openalex,1990,2023,,,,
17,Masatoshi Suzuki,Masatoshi Suzuki,Tokyo Institute of Technology,JP,16,,16,21,,,,,,2004,2025,,,,
18,"Fujii, Akio","Fujii, Akio",Rikkyo University,JP,,,10,1,,,,,,1968,2018,,,,
19,Christopher Hughes,Christopher Hughes,University of York,GB,15,,39,19,,,,,,2002,2026,,,,
